n,bubble,insertion
1000,0.001000,0.000000
2000,0.002000,0.000000
3000,0.005000,0.000000
4000,0.011000,0.001000
5000,0.019000,0.003000
6000,0.028000,0.004000
7000,0.044000,0.005000
8000,0.056000,0.006000
9000,0.075000,0.009000
10000,0.095000,0.011000
11000,0.117000,0.013000
12000,0.144000,0.016000
13000,0.170000,0.018000
14000,0.201000,0.022000
15000,0.231000,0.024000
16000,0.268000,0.028000
17000,0.310000,0.032000
18000,0.347000,0.035000
19000,0.387000,0.039000
20000,0.435000,0.044000
21000,0.482000,0.053000
22000,0.529000,0.055000
23000,0.581000,0.058000
24000,0.636000,0.064000
25000,0.693000,0.069000
26000,0.750000,0.075000
27000,0.817000,0.081000
28000,0.877000,0.088000
29000,0.956000,0.093000
30000,1.013000,0.101000
31000,1.086000,0.107000
32000,1.160000,0.114000
33000,1.264000,0.121000
34000,1.323000,0.131000
35000,1.408000,0.139000
36000,1.490000,0.142000
37000,1.561000,0.151000
38000,1.653000,0.160000
39000,1.746000,0.168000
40000,1.888000,0.180000
41000,1.950000,0.189000
42000,2.054000,0.199000
43000,2.164000,0.214000
44000,2.242000,0.217000
45000,2.357000,0.229000
46000,2.453000,0.238000
47000,2.578000,0.251000
48000,2.679000,0.260000
49000,2.799000,0.269000
50000,2.910000,0.281000
51000,3.022000,0.290000
52000,3.154000,0.303000
53000,3.280000,0.315000
54000,3.398000,0.326000
55000,3.565000,0.337000
56000,3.675000,0.347000
57000,3.791000,0.360000
58000,3.922000,0.372000
59000,4.144000,0.390000
60000,4.238000,0.402000
61000,4.369000,0.416000
62000,4.518000,0.430000
63000,4.676000,0.445000
64000,4.814000,0.458000
